Sector,Year, Electricity (kWh) , Natural gas (therms) ,Electricity (MMBTU),Natural Gas (MMBtu),Total (MMBtu)
Non-Residential,1978,493071113,34239513,1682507,3423951,5106458
Non-Residential,1979,502116395,37519559,1713372,3751956,5465328
Non-Residential,1980,489847783,34850073,1671508,3485007,5156515
Non-Residential,1981,491055506,31628821,1675629,3162882,4838511
Non-Residential,1982,462443115,30328689,1577995,3032869,4610864
Non-Residential,1983,465361303,28159696,1587952,2815970,4403922
Non-Residential,1984,490093910,27328642,1672347,2732864,4405212
Non-Residential,1985,460764212,28537765,1572266,2853777,4426042
Non-Residential,1986,460759971,24818411,1572251,2481841,4054092
Non-Residential,1987,515290415,29344760,1758325,2934476,4692801
Non-Residential,1988,528596449,25929822,1803730,2592982,4396712
Non-Residential,1989,545109613,40855937,1860078,4085594,5945671
Non-Residential,1990,553016496,32592619,1887058,3259262,5146320
Non-Residential,1991,521783645,28989375,1780482,2898938,4679420
Non-Residential,1992,518991534,38217757,1770955,3821776,5592731
Non-Residential,1999,544380934,47310060,1857591,4731006,6588597
Non-Residential,2000,560807420,41734484,1913643,4173448,6087092
Non-Residential,2005,566836426,43738294,1934216,4373829,6308045
Non-Residential,2006,575029600,43917400,1962174,4391740,6353914
Non-Residential,2007,584090917,44855091,1993093,4485509,6478603
Non-Residential,2008,575043547,44487217,1962221,4448722,6410943
Non-Residential,2009,560750878,42451760,1913450,4245176,6158626
Non-Residential,2010,563493801,43744474,1922810,4374447,6297257
Non-Residential,2011,569897202,45341204,1944660,4534120,6478781
Non-Residential,2012,571430984,44358691,1949894,4435869,6385763
Non-Residential,2013,562868081,39574630,1920675,3957463,5878138
Residential,1978,149048366,30740056,508598,3074006,3582603
Residential,1979,153327605,32385112,523200,3238511,3761711
Residential,1980,151684147,29601768,517592,2960177,3477769
Residential,1981,152852289,26830096,521578,2683010,3204587
Residential,1982,157685210,29262123,538069,2926212,3464282
Residential,1983,160668116,27092472,548248,2709247,3257495
Residential,1984,162214332,26270262,553524,2627026,3180550
Residential,1985,167568574,28524869,571794,2852487,3424281
Residential,1986,167193665,24955378,570515,2495538,3066053
Residential,1987,170940599,25304329,583301,2530433,3113734
Residential,1988,170951124,24616369,583337,2461637,3044973
Residential,1989,174101087,25875380,594085,2587538,3181623
Residential,1990,168808643,24385902,576026,2438590,3014616
Residential,1991,167948334,25112550,573090,2511255,3084345
Residential,1992,165019966,21470154,563098,2147015,2710113
Residential,1999,192326038,26318156,656274,2631816,3288090
Residential,2000,194200525,23189728,662670,2318973,2981643
Residential,2005,183489515,19931761,626121,1993176,2619297
Residential,2006,184958187,20676587,631133,2067659,2698792
Residential,2007,182980692,20314524,624385,2031452,2655837
Residential,2008,178964019,19783064,610679,1978306,2588985
Residential,2009,177754951,19788633,606553,1978863,2585417
Residential,2010,180474103,20603065,615832,2060307,2676138
Residential,2011,179218369,21103614,611547,2110361,2721908
Residential,2012,175136679,19862432,597619,1986243,2583862
Residential,2013,169330934,19372911,577808,1937291,2515099
