Year,Units,Sector,Quantity
2000,MWh,Commercial,384066.32
2001,MWh,Commercial,388171.81
2002,MWh,Commercial,385872.62
2003,MWh,Commercial,376920.47
2004,MWh,Commercial,374267.73
2005,MWh,Commercial,369509.74
2006,MWh,Commercial,372502.54
2007,MWh,Commercial,377181.16
2008,MWh,Commercial,364954.29
2009,MWh,Commercial,349066.45
2010,MWh,Commercial,354154.42
2011,MWh,Commercial,360121.73
2012,MWh,Commercial,358014.85
2013,MWh,Commercial,355809.80
2000,MWh,Municipal,13111.52
2001,MWh,Municipal,13266.81
2002,MWh,Municipal,14135.69
2003,MWh,Municipal,14186.46
2004,MWh,Municipal,14817.03
2005,MWh,Municipal,14321.13
2006,MWh,Municipal,14648.87
2007,MWh,Municipal,15018.15
2008,MWh,Municipal,15083.05
2009,MWh,Municipal,14811.23
2010,MWh,Municipal,14636.01
2011,MWh,Municipal,14865.91
2012,MWh,Municipal,14932.60
2013,MWh,Municipal,15410.82
2000,MWh,Residential,194200.52
2001,MWh,Residential,192093.41
2002,MWh,Residential,189986.29
2003,MWh,Residential,187879.17
2004,MWh,Residential,185772.05
2005,MWh,Residential,183489.52
2006,MWh,Residential,184958.19
2007,MWh,Residential,182980.69
2008,MWh,Residential,178964.02
2009,MWh,Residential,177754.95
2010,MWh,Residential,180474.10
2011,MWh,Residential,179218.37
2012,MWh,Residential,175136.68
2013,MWh,Residential,169330.93
